Source_id,RA_deg,DEC_deg,S_mJy,Serr_mJy,s_max_arcsec,s_min_arcsec,s_pa_deg,fit_spix
MKTCS J001505.57-314039.7,3.7732,-31.6777,0.167,0.017,8.0,7.6,65,-1.20
MKTCS J001505.80-313315.9,3.7742,-31.5544,0.068,0.013,7.7,7.2,113,
MKTCS J001507.31-315727.7,3.7805,-31.9577,0.545,0.028,8.5,8.3,99,-1.65
MKTCS J001508.89-311811.5,3.7870,-31.3032,0.109,0.016,8.9,8.0,91,
MKTCS J001509.12-310646.2,3.7880,-31.1128,0.394,0.020,8.6,7.7,92,-1.98
MKTCS J001509.87-314248.4,3.7912,-31.7135,0.132,0.016,7.8,7.3,54,-1.46
MKTCS J001511.41-315431.0,3.7976,-31.9086,0.199,0.029,9.5,8.3,97,
MKTCS J001513.41-311104.6,3.8059,-31.1846,0.148,0.015,7.8,7.7,26,-2.55
MKTCS J001514.86-312344.8,3.8120,-31.3958,0.078,0.013,8.0,7.4,159,
MKTCS J001516.25-313714.0,3.8177,-31.6206,0.545,0.015,8.1,7.2,94,-1.21
MKTCS J001517.56-311800.1,3.8232,-31.3001,0.110,0.014,8.7,7.2,98,-2.96
MKTCS J001518.44-314028.0,3.8269,-31.6745,0.182,0.018,9.3,7.6,130,-2.17
MKTCS J001519.35-312836.3,3.8306,-31.4768,0.092,0.017,9.7,8.1,127,
MKTCS J001519.66-315601.1,3.8319,-31.9337,0.200,0.026,8.9,7.9,116,
MKTCS J001520.28-314250.7,3.8345,-31.7141,0.089,0.017,8.7,7.0,142,
MKTCS J001521.52-311457.7,3.8397,-31.2494,0.191,0.014,8.0,7.3,73,-1.49
MKTCS J001523.30-313151.0,3.8471,-31.5309,0.126,0.016,8.6,8.0,63,-1.14
MKTCS J001524.85-313739.0,3.8536,-31.6275,0.151,0.016,8.6,7.2,98,-2.33
MKTCS J001525.10-314027.9,3.8546,-31.6744,0.243,0.017,8.5,7.4,119,-1.82
MKTCS J001525.73-310433.7,3.8572,-31.0760,0.092,0.018,8.9,7.2,151,
MKTCS J001525.85-315532.2,3.8577,-31.9256,0.588,0.027,9.2,8.0,4,-2.56
MKTCS J001525.93-312529.2,3.8581,-31.4248,0.138,0.013,8.2,7.6,50,-1.65
MKTCS J001527.98-313150.2,3.8666,-31.5306,0.088,0.014,8.5,7.3,114,
MKTCS J001529.06-313334.8,3.8711,-31.5597,0.226,0.014,8.0,7.2,107,-1.66
MKTCS J001529.08-313137.7,3.8712,-31.5271,0.188,0.016,9.5,7.5,94,-1.89
MKTCS J001529.84-310113.5,3.8743,-31.0204,0.114,0.019,8.7,7.6,100,
MKTCS J001530.59-310141.2,3.8775,-31.0281,0.128,0.020,9.0,7.8,99,
MKTCS J001531.01-315505.3,3.8792,-31.9181,0.358,0.023,8.5,7.5,117,-1.75
MKTCS J001533.47-312958.3,3.8895,-31.4995,0.322,0.013,8.0,7.3,102,-1.40
MKTCS J001534.54-314524.3,3.8939,-31.7568,0.287,0.023,9.6,8.4,81,-1.43
MKTCS J001534.97-305715.3,3.8957,-30.9543,0.236,0.020,8.4,7.6,108,-1.92
MKTCS J001535.75-305401.3,3.8990,-30.9004,0.139,0.022,8.5,7.8,63,
MKTCS J001537.48-311112.5,3.9062,-31.1868,0.372,0.015,8.2,7.6,94,-1.18
MKTCS J001537.82-312657.6,3.9076,-31.4493,0.098,0.014,8.3,7.6,118,-1.28
MKTCS J001539.65-313537.2,3.9152,-31.5937,0.287,0.015,8.1,7.4,113,-1.52
MKTCS J001541.02-314100.4,3.9209,-31.6835,0.158,0.018,8.0,7.7,62,-1.82
MKTCS J001541.37-312212.4,3.9224,-31.3701,0.121,0.015,8.7,7.7,110,-2.22
MKTCS J001542.49-311517.7,3.9270,-31.2549,0.170,0.013,8.0,7.5,91,-1.60
MKTCS J001542.70-313120.0,3.9279,-31.5222,0.177,0.013,7.7,7.1,112,-1.68
MKTCS J001545.45-313428.9,3.9394,-31.5747,0.092,0.017,9.1,7.5,145,
MKTCS J001546.16-315635.3,3.9424,-31.9431,0.192,0.025,9.2,8.0,75,-2.04
MKTCS J001546.69-310717.6,3.9445,-31.1216,0.136,0.017,8.8,7.8,99,-2.29
MKTCS J001549.03-305710.5,3.9543,-30.9529,0.104,0.020,8.6,7.5,95,
MKTCS J001552.12-315135.4,3.9672,-31.8598,0.468,0.021,8.1,7.5,101,-1.79
MKTCS J001552.65-315102.2,3.9694,-31.8506,0.116,0.023,9.0,8.0,121,
MKTCS J001552.69-312359.5,3.9696,-31.3999,0.145,0.015,8.5,7.9,98,-2.49
MKTCS J001553.00-311200.3,3.9708,-31.2001,0.104,0.013,7.8,7.5,82,-2.16
MKTCS J001553.33-305935.7,3.9722,-30.9933,0.124,0.019,9.1,7.6,131,
MKTCS J001553.46-315604.7,3.9728,-31.9347,0.152,0.029,9.7,9.2,101,
MKTCS J001556.49-311805.3,3.9854,-31.3015,0.082,0.015,8.4,7.7,135,
MKTCS J001556.65-314456.0,3.9860,-31.7489,0.125,0.019,8.1,7.9,103,-1.50
MKTCS J001557.64-312955.9,3.9902,-31.4989,0.092,0.015,8.4,7.4,118,
MKTCS J001557.72-314950.2,3.9905,-31.8306,0.182,0.021,8.3,7.6,108,-1.02
MKTCS J001558.31-314902.8,3.9930,-31.8175,0.191,0.023,8.9,8.0,89,-2.82
MKTCS J001600.37-313142.4,4.0015,-31.5285,0.071,0.014,8.0,7.6,72,
MKTCS J001602.24-312714.4,4.0093,-31.4540,0.128,0.016,9.2,7.1,104,-1.46
MKTCS J001603.32-310200.5,4.0139,-31.0335,0.213,0.016,8.3,7.4,115,-1.03
MKTCS J001603.64-310645.0,4.0152,-31.1125,0.114,0.014,8.1,7.1,107,-3.55
MKTCS J001605.03-311730.8,4.0210,-31.2919,0.437,0.015,8.4,7.4,87,-1.19
MKTCS J001605.23-312713.5,4.0218,-31.4538,0.113,0.017,9.3,7.6,109,-1.56
MKTCS J001605.60-310407.9,4.0233,-31.0689,0.095,0.016,8.7,7.0,85,
MKTCS J001606.72-312852.9,4.0280,-31.4814,0.096,0.017,9.1,8.1,81,
MKTCS J001607.08-312822.0,4.0295,-31.4728,0.083,0.016,8.3,7.9,24,
MKTCS J001607.18-311632.0,4.0299,-31.2756,0.342,0.013,7.9,7.2,99,-1.30
MKTCS J001607.24-311915.6,4.0302,-31.3210,0.087,0.017,8.9,8.1,120,
MKTCS J001607.79-304734.5,4.0325,-30.7929,0.153,0.027,9.9,7.9,144,
MKTCS J001610.03-312017.4,4.0418,-31.3382,0.336,0.014,8.1,7.2,102,-1.05
MKTCS J001611.23-314530.5,4.0468,-31.7585,0.194,0.020,8.6,7.9,84,-2.51
MKTCS J001611.27-311306.7,4.0470,-31.2185,0.099,0.015,8.3,8.1,128,-3.37
MKTCS J001613.56-311657.9,4.0565,-31.2828,0.484,0.015,8.5,7.5,69,-1.14
MKTCS J001615.30-305655.4,4.0638,-30.9487,0.172,0.023,9.4,8.6,97,-1.99
MKTCS J001615.30-310624.5,4.0638,-31.1068,0.159,0.016,8.6,7.7,107,-1.46
MKTCS J001615.95-313426.9,4.0665,-31.5742,0.106,0.015,8.3,7.5,108,-3.05
MKTCS J001617.78-312648.2,4.0741,-31.4467,0.089,0.014,8.1,6.8,124,
MKTCS J001618.26-312023.2,4.0761,-31.3398,0.226,0.016,8.3,7.8,92,-1.42
MKTCS J001618.42-315735.1,4.0768,-31.9598,0.580,0.022,8.1,7.6,122,-1.16
MKTCS J001620.33-314941.3,4.0847,-31.8281,0.211,0.021,8.5,7.5,116,-1.92
MKTCS J001620.44-312043.5,4.0852,-31.3454,0.096,0.019,9.1,8.5,32,
MKTCS J001621.73-312656.2,4.0906,-31.4490,0.086,0.017,9.2,7.7,158,
MKTCS J001622.49-312614.7,4.0937,-31.4374,0.308,0.015,8.0,7.3,97,-1.42
MKTCS J001622.61-311032.6,4.0942,-31.1757,0.132,0.017,9.8,7.6,122,-2.34
MKTCS J001625.86-311718.4,4.1078,-31.2885,0.092,0.015,8.1,7.5,116,
MKTCS J001625.93-313308.9,4.1081,-31.5525,0.097,0.017,9.5,7.7,108,-3.15
MKTCS J001628.41-312428.4,4.1184,-31.4079,0.129,0.016,8.5,7.5,132,-2.63
MKTCS J001628.71-314127.8,4.1197,-31.6911,0.593,0.017,7.8,7.6,101,-1.11
MKTCS J001629.23-310105.9,4.1218,-31.0183,0.153,0.017,8.4,7.6,121,-2.84
MKTCS J001630.13-310929.6,4.1256,-31.1582,0.129,0.016,9.0,7.4,80,-3.06
MKTCS J001630.17-313237.4,4.1257,-31.5437,0.146,0.014,7.7,7.5,74,-1.61
MKTCS J001632.29-313218.3,4.1346,-31.5384,0.088,0.015,8.0,7.8,133,-3.81
MKTCS J001632.65-315538.5,4.1361,-31.9274,0.182,0.024,8.9,7.6,95,-3.50
MKTCS J001632.88-310435.5,4.1370,-31.0765,0.185,0.017,8.6,7.6,153,-1.92
MKTCS J001633.48-311949.9,4.1395,-31.3305,0.183,0.016,8.7,6.9,100,
MKTCS J001633.97-305126.6,4.1415,-30.8574,0.118,0.021,7.8,7.7,96,
MKTCS J001634.85-311802.4,4.1452,-31.3007,0.087,0.016,8.7,7.3,67,
MKTCS J001635.34-305402.4,4.1473,-30.9007,0.271,0.021,8.7,7.3,115,-2.10
MKTCS J001636.60-305025.6,4.1525,-30.8405,0.154,0.027,9.7,8.1,47,
MKTCS J001637.13-305055.7,4.1547,-30.8488,0.130,0.024,8.9,7.8,82,
MKTCS J001637.92-305044.7,4.1580,-30.8458,0.872,0.025,9.0,7.9,30,-1.17
MKTCS J001638.09-311537.7,4.1587,-31.2605,0.088,0.015,7.9,7.7,108,-3.16
MKTCS J001638.48-312554.4,4.1604,-31.4318,0.100,0.014,8.1,6.7,111,-1.11
MKTCS J001638.83-310030.9,4.1618,-31.0086,0.161,0.020,8.8,8.4,131,-6.91
MKTCS J001639.85-305215.8,4.1661,-30.8711,0.215,0.025,9.1,7.9,108,-2.89
MKTCS J001640.86-311842.4,4.1703,-31.3118,0.105,0.016,8.3,7.5,112,
MKTCS J001641.23-304734.0,4.1718,-30.7928,0.285,0.027,8.9,8.2,97,-2.50
MKTCS J001643.96-311822.3,4.1832,-31.3062,0.128,0.016,8.3,7.6,131,-3.76
MKTCS J001644.13-305414.3,4.1839,-30.9040,0.204,0.023,8.8,7.6,107,-2.13
MKTCS J001645.06-315755.9,4.1878,-31.9655,0.419,0.025,8.2,7.7,107,-1.57
MKTCS J001646.02-313530.6,4.1918,-31.5918,0.098,0.016,9.1,7.5,77,
MKTCS J001649.54-305952.4,4.2065,-30.9979,0.185,0.020,8.9,7.3,108,-1.71
MKTCS J001651.03-313757.5,4.2127,-31.6326,0.154,0.016,8.3,7.7,93,-2.08
MKTCS J001651.88-310011.5,4.2162,-31.0032,0.171,0.021,9.3,7.7,104,-2.42
MKTCS J001652.29-310724.1,4.2179,-31.1234,0.131,0.017,9.0,7.5,144,-2.73
MKTCS J001653.45-310650.2,4.2227,-31.1139,0.131,0.018,8.7,8.4,62,-1.67
MKTCS J001653.80-315907.5,4.2242,-31.9854,0.392,0.029,8.6,8.0,110,-2.24
MKTCS J001654.96-312216.6,4.2290,-31.3713,0.057,0.008,5.8,5.2,66,-2.46
MKTCS J001655.92-310245.4,4.2330,-31.0460,0.115,0.020,8.8,8.0,71,
